This file was created by CMPT_IND_RETS using the 202106 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
192905,  -9.68,  -5.66,  -3.68,  -7.84,   0.03
192906,   7.03,  12.44,  15.73,   4.52,   5.73
192907,   0.38,   4.56,  10.97,   2.59,   6.61
192908,   4.94,   9.73,  11.92,   3.09,   7.82
192909,  -5.72,  -3.94,  -5.10,  -7.02,  -6.44
192910, -20.45, -20.47, -22.65, -18.02, -11.87
192911, -12.19, -12.35, -14.84,  -7.90,  -9.57
192912,   0.12,   2.35,   6.10,   1.11,  -0.51
193001,   5.54,   5.04,   6.32,   2.55,   4.92
193002,   0.47,   2.23,   7.45,   3.15,   3.32
193003,   3.86,  10.15,   8.41,   5.99,   4.83
193004,  -1.72,  -1.07,  -0.84,  -1.27,  -6.41
193005,   1.85,  -2.14,  -2.40,  -1.49,  -0.95
193006, -15.66, -16.95, -14.85, -13.34, -11.74
193007,   5.40,   4.64,   2.78,   6.52,   3.46
193008,   1.56,  -0.43,   2.00,   7.71,  -0.36
193009, -11.51, -13.57, -12.35,  -8.70, -10.56
193010,  -7.46,  -9.06, -10.87,  -4.37,  -8.43
193011,   2.04,  -3.75,  -3.27,  -3.23,  -5.17
193012,  -5.83,  -7.80,  -7.09,  -6.79,  -8.81
193101,   6.47,   4.50,   4.99,   8.23,  11.83
193102,  11.35,  12.07,  13.43,   7.81,   5.52
193103,  -2.64,  -7.06,  -5.64,   1.80,  -9.41
193104,  -5.90, -12.30,  -8.48,  -3.62,  -9.88
193105, -10.64, -13.86, -10.76, -10.26, -17.44
193106,  11.01,  15.12,  13.99,   9.69,  16.34
193107,  -2.84,  -7.23,  -7.25,   2.61,  -9.91
193108,  -0.32,   1.32,   2.02,   0.39,  -3.90
193109, -28.58, -30.86, -26.78, -29.45, -26.50
193110,   9.99,   9.38,   7.02,  11.26,   1.88
193111,  -5.42,  -7.29,  -9.77,  -2.79, -19.20
193112, -10.69, -15.53, -10.06,  -4.10, -16.48
193201,  -0.41,  -2.19,  -6.74,  -2.66,   6.71
193202,   4.33,   6.96,   9.78,   2.05,  -0.19
193203, -10.33,  -9.70, -11.41,  -6.41, -15.99
193204, -15.89, -18.19, -16.23, -19.77, -22.36
193205, -22.68, -17.82, -16.06, -34.08, -30.03
193206,  -0.75,   1.25,  -5.41,  11.05,  -2.01
193207,  28.44,  35.86,  24.40,  29.18,  55.78
193208,  28.96,  37.21,  33.84,  35.87,  58.75
193209,   1.90,  -5.19,  -1.82, -11.92,  -4.13
193210, -14.57, -11.22, -11.87, -18.56, -18.01
193211,  -5.92,  -6.63,  -3.36,   5.53,  -6.88
193212,   4.21,   4.23,   4.82,   6.82,   4.90
193301,   2.25,  -0.93,   0.65,  -1.13,   8.54
193302, -14.05, -17.32, -11.55, -10.82, -16.42
193303,   9.79,   1.84,  -2.51,  -3.16,   3.80
193304,  43.67,  43.53,  25.52,  37.13,  30.73
193305,  16.46,  22.17,  18.29,  23.49,  31.50
193306,  13.98,  13.15,  10.62,  10.39,  14.51
193307,  -8.18, -12.04,  -6.94, -19.11,  -6.67
193308,  12.01,  13.05,   7.59,  -0.38,  14.60
193309,  -9.79,  -9.93,  -8.79,  -1.31, -16.41
193310,  -9.10,  -6.99,  -8.08,  -6.02, -10.84
193311,  12.06,  10.72,   8.12,   9.40,   5.34
193312,   2.04,   2.21,  -1.86, -11.73,   4.70
193401,  12.49,  11.77,   9.78,  16.77,  18.55
193402,  -2.36,  -2.99,  -1.24,  -3.59,  -1.89
193403,   1.00,  -1.36,   1.99,  -0.64,   0.83
193404,  -0.90,  -2.69,  -1.67,   8.00,  -1.65
193405,  -6.92,  -8.07,  -5.18,  -0.38,  -7.35
193406,   1.78,   3.31,   1.87,   2.04,   3.10
193407,  -8.05, -11.92,  -7.27,  -1.89, -17.28
193408,   5.90,   6.26,   4.05,  -3.05,   4.44
193409,   0.88,  -1.11,   1.07,   0.80,  -0.35
193410,   0.21,  -2.81,  -1.33,  -0.71,  -2.21
193411,  10.93,   9.14,   4.01,   4.07,   5.63
193412,   0.17,   0.37,   1.16,   0.62,  -0.17
193501,  -4.30,  -3.07,   0.21,  -0.86,  -6.71
193502,  -0.12,  -3.45,   0.68,   4.25,  -4.70
193503,  -4.85,  -2.72,  -2.18,  -3.14,  -5.32
193504,   5.90,  11.11,   9.60,   3.18,   8.75
193505,   1.88,   3.79,   5.96,  -4.02,   3.89
193506,   6.72,   5.35,   6.57,   4.09,   6.32
193507,   8.13,   7.27,   7.35,   3.19,   7.27
193508,   2.42,   2.30,   3.70,   0.29,   3.39
193509,   3.88,   1.24,   5.76,   1.11,   0.63
193510,   6.59,   9.02,   5.59,   5.97,   2.40
193511,   2.28,   3.54,   7.97,   1.74,  13.19
193512,   2.65,   6.81,   1.45,   2.35,   4.30
193601,   2.21,   9.04,   5.21,   3.46,  12.15
193602,   1.78,   2.52,   3.73,   3.45,   2.79
193603,   2.93,   2.00,  -1.91,   3.52,  -2.96
193604,  -6.79,  -9.27,  -7.00,  -9.19,  -7.43
193605,   4.97,   4.60,   5.91,   4.80,   7.40
193606,   4.56,   1.73,   1.93,   1.29,   1.78
193607,   4.32,   7.39,   6.69,   4.65,   9.65
193608,   0.76,   0.64,   2.06,  -1.48,   1.83
193609,   1.50,   1.32,  -0.40,   0.77,   0.89
193610,   5.64,   8.72,   5.39,   3.78,   8.11
193611,   3.79,   3.27,   4.63,   3.40,   0.49
193612,  -5.01,   3.43,   1.01,  -2.04,  -1.18
193701,   3.54,   3.75,   3.66,   3.47,   1.04
193702,   0.88,   1.54,  -2.20,  -3.72,   4.76
193703,  -2.47,   1.08,  -3.30,  -5.03,   2.68
193704,  -7.09,  -7.90,  -6.43,  -3.32,  -6.83
193705,  -1.87,   0.00,   1.17,   1.68,  -3.33
193706,  -5.41,  -3.49,  -0.01,  -4.12,  -8.94
193707,   8.88,   9.90,   6.32,   4.14,   8.74
193708,  -2.83,  -5.60,  -3.65,   1.09,  -8.34
193709, -11.45, -15.74,  -8.04, -10.76, -15.89
193710,  -8.94, -11.00,  -6.21,  -3.55, -10.13
193711, -10.75,  -8.70,  -4.05,  -5.12,  -6.85
193712,  -7.29,  -3.05,  -1.84,  -2.41,  -6.63
193801,   5.76,  -1.20,  -2.45,   3.52,   0.49
193802,   4.82,   8.38,   0.69,   8.61,   4.88
193803, -20.45, -24.96, -22.25, -14.44, -29.74
193804,  13.81,  14.60,  14.91,  11.82,  14.53
193805,  -2.78,  -5.60,  -0.87,   1.71,  -3.96
193806,  21.24,  27.74,  18.89,  10.07,  24.86
193807,  10.87,   6.26,   3.41,   5.80,  10.00
193808,  -0.65,  -4.32,  -0.42,   0.36,  -3.73
193809,   0.46,   1.39,   1.20,  -0.01,  -1.25
193810,   6.24,   8.37,   6.67,   5.63,  11.10
193811,  -1.58,  -1.77,  -1.81,   1.44,  -2.02
193812,   2.15,   5.22,   2.81,   0.85,   6.32
193901,  -4.28,  -7.38,  -2.69,  -0.96,  -8.65
193902,   4.76,   2.63,   3.17,   3.72,   4.70
193903, -10.42, -13.53,  -8.06,  -4.33, -14.95
193904,   0.47,  -0.70,   0.43,   1.00,  -1.83
193905,   7.58,   6.16,   6.68,   5.49,   8.01
193906,  -3.59,  -5.94,  -5.55,   1.10,  -7.62
193907,  10.02,  10.44,   9.61,   3.08,  11.59
193908,  -7.23,  -6.02,  -5.86,  -5.43,  -9.97
193909,   9.65,  23.43,   6.50,   7.07,  25.59
193910,   2.26,  -2.35,   1.31,   0.21,  -1.59
193911,  -1.70,  -5.48,  -0.57,   1.22,  -5.05
193912,   3.37,   2.90,   3.18,   3.77,   2.38
194001,  -0.71,  -3.49,  -1.85,  -1.79,  -2.66
194002,   1.67,   1.79,   0.37,   1.48,   0.88
194003,   2.65,   1.60,   1.93,   1.90,   2.63
194004,   0.58,   0.36,  -0.43,  -0.31,  -0.77
194005, -23.34, -22.45, -16.86, -21.21, -24.01
194006,   7.21,   6.22,   6.48,   4.91,   8.56
194007,   2.83,   3.47,   3.12,  -0.52,   3.38
194008,   3.61,   1.77,   1.06,  -2.29,   2.88
194009,   2.92,   1.92,   2.67,   4.61,   2.46
194010,   0.68,   4.52,   1.94,  -3.00,   5.30
194011,  -1.15,  -2.47,  -0.77,  -1.82,  -0.09
194012,  -0.77,   1.50,   1.21,  -0.23,   0.24
194101,  -4.11,  -5.44,  -2.28,  -2.19,  -1.62
194102,  -1.33,  -1.64,  -1.50,  -4.69,  -0.31
194103,   0.00,   0.96,   1.21,   1.77,   1.81
194104,  -6.40,  -4.46,  -7.32,  -5.22,  -4.44
194105,   0.03,   3.24,   0.09,  -1.45,  -0.93
194106,   5.28,   5.91,   7.22,   6.72,   4.51
194107,   4.87,   7.93,   0.48,   8.03,   7.52
194108,   1.65,  -1.52,   0.93,   0.08,   0.20
194109,   2.13,  -2.32,  -0.16,  -0.21,  -2.57
194110,  -6.86,  -4.50,  -5.66,  -3.69,  -4.11
194111,  -3.64,  -0.61,  -3.28,  -2.93,  -1.54
194112,  -7.70,  -3.35,  -5.13,  -1.59,  -5.36
194201,   3.11,  -1.52,  -0.43,  -2.99,   9.54
194202,  -1.58,  -3.32,  -1.35,  -5.35,  -1.86
194203,  -5.03,  -6.83,  -6.65,  -5.54,  -8.98
194204,  -4.60,  -4.23,  -5.81,  -4.45,  -2.00
194205,   9.84,   3.59,   7.78,  14.69,   3.55
194206,   2.73,   3.60,   0.61,   2.85,   1.97
194207,   2.90,   3.36,   3.30,   1.60,   6.59
194208,   1.51,   1.89,   1.72,   2.43,   2.41
194209,   0.97,   3.21,   3.38,   0.26,   3.38
194210,   4.03,   8.20,   6.22,   4.13,   8.91
194211,   2.63,  -1.36,   2.36,   1.58,  -2.06
194212,   5.39,   5.82,   2.88,   8.69,   4.47
194301,   7.31,   7.47,   6.50,   2.47,   7.06
194302,   4.81,   6.25,   6.30,   3.64,   9.43
194303,   5.56,   6.17,   3.70,   4.56,  10.07
194304,   1.06,  -0.23,   2.75,   1.40,   2.19
194305,   6.78,   5.39,   5.35,   5.13,   5.58
194306,   3.81,   1.28,   2.34,   0.50,  -0.78
194307,  -4.84,  -5.02,  -3.54,  -3.26,  -5.21
194308,   2.44,   0.92,   0.72,   0.26,   1.41
194309,   2.01,   2.40,   3.13,   4.02,   2.18
194310,  -1.07,  -1.07,  -1.19,   0.57,  -1.08
194311,  -4.80,  -6.79,  -3.85,  -3.93,  -7.97
194312,   6.91,   6.44,   5.27,   3.94,   7.16
194401,   2.23,   1.30,   0.75,   0.29,   4.48
194402,   1.22,  -0.03,  -0.47,  -2.64,   2.06
194403,   3.34,   2.10,   2.09,   2.46,   2.65
194404,  -1.47,  -1.72,  -1.18,  -2.36,  -2.45
194405,   6.14,   5.09,   3.19,   5.68,   4.28
194406,   6.94,   4.89,   5.14,   3.85,   5.94
194407,  -1.89,  -1.50,  -1.04,  -1.24,  -0.80
194408,   3.17,   1.07,   1.26,   0.76,   0.36
194409,   0.54,  -0.24,  -0.16,   0.43,   0.11
194410,  -0.84,   0.49,   0.78,   1.09,   0.69
194411,   1.95,   1.25,   1.11,   0.52,   4.29
194412,   2.71,   4.39,   2.54,   1.71,   8.45
194501,   1.59,   3.74,  -0.79,   0.56,   0.61
194502,   5.34,   6.97,   4.66,   4.25,   7.85
194503,  -3.66,  -4.75,  -1.93,  -1.83,  -3.53
194504,   8.49,   8.13,   5.19,   6.33,   8.82
194505,   2.73,   0.42,   2.80,   4.11,   3.09
194506,  -0.93,   0.32,   0.41,  -4.65,   4.46
194507,  -0.95,  -2.75,   0.32,  -1.62,  -5.47
194508,   8.42,   6.00,   5.48,   9.19,   2.56
194509,   4.92,   5.05,   2.63,   6.51,   6.08
194510,   4.39,   3.82,   1.57,   6.61,   5.76
194511,   4.17,   5.81,   3.05,   8.58,   9.14
194512,   2.25,   0.75,   1.52,   1.53,   0.15
194601,   7.05,   6.07,   4.14,   7.76,   7.40
194602,  -5.95,  -5.67,  -5.10,  -4.31,  -6.14
194603,   6.15,   7.17,   1.65,  14.57,   4.67
194604,   4.01,   5.56,   1.64,  14.67,   1.70
194605,   3.41,   4.40,   3.97,   5.64,   3.38
194606,  -5.49,  -3.37,  -2.48,  -5.52,  -3.26
194607,  -2.50,  -2.43,  -1.64,  -3.22,  -4.95
194608,  -6.54,  -6.23,  -6.95,  -3.24,  -6.78
194609, -10.70,  -9.55,  -7.15,  -7.03, -14.38
194610,  -1.32,  -1.13,  -4.05,  -0.24,  -0.46
194611,  -2.34,   1.28,  -0.05,   1.67,   0.00
194612,   4.44,   5.92,   4.21,   7.23,   2.77
194701,   3.08,   0.33,   3.05,  -5.32,   0.46
194702,   0.18,  -1.28,  -2.06,  -4.19,  -1.27
194703,  -2.34,  -0.67,  -2.21,  -1.26,  -3.33
194704,  -6.31,  -3.98,  -2.59,  -8.60,  -6.26
194705,  -0.93,  -0.77,  -0.72,  -2.68,  -2.07
194706,   7.26,   6.15,   0.09,   4.19,   3.18
194707,   4.79,   3.70,   3.46,   2.60,   5.99
194708,  -1.82,  -1.24,  -1.89,  -3.83,  -3.18
194709,  -0.56,  -0.59,   0.98,  -2.62,  -0.97
194710,   2.25,   3.43,   0.95,   1.22,   1.01
194711,  -2.16,  -1.75,  -1.59,  -3.04,  -1.98
194712,   1.04,   4.48,   1.44,   3.10,   3.70
194801,  -3.60,  -4.70,  -2.68,  -8.23,  -0.86
194802,  -5.29,  -4.37,  -2.45,  -3.53,  -4.11
194803,   6.29,   9.35,   6.28,   6.33,   9.93
194804,   2.31,   5.14,   1.04,   2.14,   3.24
194805,   8.67,   7.03,   7.51,   6.78,   6.79
194806,  -1.13,   0.90,  -0.51,  -2.19,  -0.82
194807,  -4.17,  -5.66,  -4.11,  -4.25,  -4.96
194808,   1.01,  -0.44,   1.51,  -1.90,   1.53
194809,  -3.10,  -3.04,  -1.67,  -3.08,  -3.42
194810,   5.05,   7.23,   3.89,   5.19,   4.95
194811,  -7.78, -10.69,  -5.64,  -5.74, -10.58
194812,   1.72,   4.09,   3.58,   4.54,   2.87
194901,   2.60,  -0.51,  -1.30,   4.57,   0.31
194902,  -2.54,  -3.19,  -2.22,  -0.93,  -3.17
194903,   3.60,   4.38,   3.50,   5.50,   4.89
194904,  -2.38,  -1.36,  -2.66,   0.24,  -1.54
194905,  -0.93,  -3.70,  -3.70,  -1.88,  -2.67
194906,   1.62,  -0.39,   0.64,   2.16,  -1.37
194907,   6.24,   5.85,   4.48,   6.00,   4.19
194908,   2.78,   3.44,   0.87,   0.19,   1.45
194909,   2.63,   3.66,   2.36,   1.86,   3.40
194910,   2.91,   3.68,   2.77,   3.38,   2.44
194911,   2.76,   1.32,   2.74,   4.81,   1.21
194912,   5.94,   4.35,   5.27,   8.70,   7.17
195001,   1.26,   1.47,   3.21,   1.06,   3.19
195002,   1.91,   1.29,   2.06,   1.92,   1.02
195003,   0.28,   1.93,   3.46,  -2.90,  -0.68
195004,   3.22,   5.21,   3.58,   5.52,   1.50
195005,   3.81,   6.18,   1.07,   3.96,   1.36
195006,  -4.80,  -6.11,  -6.17,  -4.19,  -6.80
195007,  -1.01,   2.81,  -2.09,  -6.94,   7.49
195008,   5.84,   5.25,   3.84,   3.68,   2.30
195009,   7.16,   4.21,   2.17,   6.15,   6.52
195010,   0.29,   0.22,  -0.63,  -1.76,  -1.52
195011,  -0.60,   4.64,   1.18,   4.68,   3.94
195012,   2.37,   6.84,   2.88,   6.06,  11.04
195101,   5.86,   6.03,   4.82,   3.10,   6.40
195102,   2.17,   1.41,   2.46,   1.46,  -0.41
195103,  -1.24,  -2.60,  -1.00,   1.70,  -2.84
195104,   1.66,   7.12,   2.03,  10.41,   3.74
195105,  -2.73,  -2.13,  -1.62,   1.57,  -3.26
195106,  -4.46,  -1.77,  -0.91,   0.83,  -5.11
195107,   3.06,   8.92,   4.41,  14.42,   7.39
195108,   4.43,   4.76,   4.31,  -1.38,   3.46
195109,   1.63,   0.06,   1.76,  -1.84,   3.59
195110,  -2.74,  -1.67,  -3.55,  -5.94,  -3.62
195111,   1.08,   0.20,   1.33,  -0.50,   2.12
195112,   1.50,   4.42,   3.03,   5.11,   2.13
195201,  -0.35,   2.56,  -0.91,   0.73,   3.32
195202,  -1.61,  -3.00,  -2.09,  -4.22,  -1.58
195203,   4.27,   4.88,   3.16,   0.37,   5.85
195204,  -2.79,  -6.27,  -2.17,  -5.46,  -3.38
195205,   2.96,   3.80,   2.03,   2.53,   2.94
195206,   3.76,   4.22,   3.94,  -0.97,   4.02
195207,   1.70,   1.06,   0.95,  -4.39,   1.15
195208,   1.03,  -1.42,   0.27,  -0.55,  -0.13
195209,  -1.49,  -2.44,   0.29,  -4.10,  -1.36
195210,  -0.26,  -0.54,  -0.12,  -1.47,  -1.57
195211,   5.79,   5.81,   6.49,   7.25,   7.27
195212,   3.60,   3.13,   1.86,  -1.96,   3.74
195301,   0.75,  -0.51,  -0.62,  -5.12,   1.07
195302,   0.07,  -0.31,   0.04,   2.09,  -0.22
195303,  -2.43,  -0.96,  -0.63,  -0.16,  -1.44
195304,  -1.06,  -3.60,  -0.95,  -5.35,  -3.21
195305,   0.46,   0.72,   0.72,  -0.03,   1.44
195306,  -2.16,  -1.72,  -0.82,  -3.29,  -2.05
195307,   1.75,   3.18,   1.54,   3.66,   1.42
195308,  -4.22,  -4.53,  -2.61,   0.05,  -6.77
195309,  -0.21,   0.26,   2.39,   0.43,  -0.99
195310,   3.26,   5.61,   4.13,   2.66,   3.69
195311,   1.28,   3.26,   3.51,   7.98,   2.77
195312,  -0.28,   0.57,   0.52,  -1.34,  -2.29
195401,   4.34,   5.59,   4.37,   5.65,   6.64
195402,   0.67,   1.67,   3.98,  -0.18,   1.54
195403,   1.91,   4.33,   5.25,   0.28,   1.80
195404,   2.28,   5.05,   5.65,   1.20,   2.87
195405,   3.34,   3.63,   0.42,   1.61,   4.39
195406,   1.39,   0.12,   5.30,  -2.43,   1.49
195407,   7.13,   4.95,   2.00,   8.21,   6.83
195408,  -2.31,  -2.09,  -2.97,  -2.57,  -2.25
195409,   8.26,   6.77,   5.06,   2.82,   4.33
195410,  -1.71,  -1.88,  -1.36,  -1.62,   0.58
195411,   6.04,  10.48,   8.89,  12.55,  11.15
195412,   4.98,   6.01,   2.33,   6.13,   9.36
195501,   0.76,   0.30,   2.71,  -2.88,   0.89
195502,   0.42,   3.54,   4.61,   2.85,   3.77
195503,  -0.63,   0.00,  -0.97,   6.10,   0.93
195504,   4.12,   2.88,   3.95,   0.01,   3.44
195505,   0.21,   1.40,   0.68,   3.14,   1.63
195506,   6.18,   8.77,   2.88,   0.17,   2.37
195507,   9.37,   0.61,  -0.57,   0.14,  -1.79
195508,  -1.86,   1.38,  -1.05,   0.15,   0.46
195509,   4.38,  -0.83,  -1.84,  -3.20,  -2.50
195510,  -3.18,  -2.20,  -3.48,   0.81,  -2.83
195511,   6.77,   7.48,   6.54,   6.26,   8.05
195512,  -1.82,   2.81,   3.16,   6.22,  -0.73
195601,  -4.64,  -2.49,  -2.18,  -6.50,  -2.76
195602,   3.68,   4.25,   3.37,   8.25,   3.17
195603,   2.53,   8.46,   6.42,   7.24,   5.67
195604,  -2.64,   1.52,  -0.66,   2.74,   0.50
195605,  -4.11,  -5.58,  -3.55,  -1.24,  -5.47
195606,   3.79,   3.83,   4.32,   3.58,   1.58
195607,   3.92,   6.03,   4.12,   3.10,   2.42
195608,  -0.65,  -3.77,  -2.58,  -3.07,  -3.56
195609,  -2.32,  -5.73,  -5.07,  -3.69,  -4.40
195610,  -0.29,   0.87,   1.14,   0.58,   1.10
195611,  -2.42,   1.20,   1.05,  -1.31,   0.22
195612,   0.65,   4.19,   3.58,   6.05,   2.00
195701,  -2.32,  -4.05,  -1.87,  -2.26,  -0.55
195702,  -1.42,  -2.25,  -0.20,  -0.35,  -2.56
195703,   1.13,   2.33,   3.26,   8.21,   2.30
195704,   4.12,   4.63,   4.76,   5.43,   3.15
195705,   1.28,   4.71,   3.71,   4.78,   1.37
195706,  -0.75,  -1.21,   2.10,   6.45,  -1.10
195707,   2.55,   0.62,   0.51,   2.98,   1.12
195708,  -2.53,  -5.57,  -4.13,  -2.26,  -5.41
195709,  -3.93,  -6.52,  -4.55,  -3.71,  -6.63
195710,  -3.62,  -4.46,  -1.93,  -0.45,  -6.87
195711,  -1.51,   3.21,   4.26,   7.77,   0.33
195712,  -4.19,  -4.25,  -1.31,  -0.38,  -4.37
195801,   6.58,   4.32,   4.12,  -0.05,  11.00
195802,   0.34,  -2.24,  -0.64,   4.92,  -1.76
195803,   3.49,   3.57,   1.94,   7.53,   2.51
195804,   3.74,   3.27,   1.13,   7.52,   4.55
195805,   3.80,   2.06,   1.80,   1.07,   3.75
195806,   2.53,   3.16,   2.71,   3.23,   2.88
195807,   5.12,   4.64,   2.48,   5.97,   5.31
195808,   2.07,   1.67,   2.22,   1.98,   3.07
195809,   6.91,   3.96,   5.68,  11.72,   4.64
195810,   1.91,   2.73,   3.13,   1.05,   3.64
195811,   3.54,   2.62,   3.40,   8.03,   4.69
195812,   3.55,   4.13,  13.16,   4.61,   3.04
195901,   1.92,   0.79,   0.41,  -0.62,   1.97
195902,   0.95,  -0.04,   5.01,   3.86,   1.68
195903,  -0.63,   0.75,   1.11,   4.26,  -0.72
195904,   5.60,   2.54,   6.76,  11.92,   2.07
195905,   3.87,   1.79,   2.29,  -1.07,   0.65
195906,   1.25,  -0.37,  -1.01,   6.59,   1.41
195907,   5.24,   4.06,   0.55,   4.74,   0.17
195908,   1.53,  -1.68,  -1.21,  -3.52,  -2.21
195909,  -3.45,  -5.35,  -2.82,  -4.96,  -4.07
195910,   0.84,   1.26,   3.43,   2.38,   0.18
195911,   1.02,   1.22,   4.76,   5.62,  -0.51
195912,   3.65,   2.67,   3.79,  -1.63,   2.08
196001,  -7.56,  -7.09,  -5.49,  -6.35,  -4.42
196002,   1.01,  -0.09,   6.67,   0.27,   0.01
196003,  -2.65,  -1.90,   0.95,   1.61,  -2.33
196004,  -0.41,  -2.77,  -0.14,   1.68,  -1.11
196005,   2.83,   1.62,   6.89,  13.77,   0.34
196006,   2.76,   2.92,   0.69,  -0.16,   2.83
196007,  -1.32,  -2.44,  -2.45,  -3.86,  -1.52
196008,   3.66,   2.85,   3.65,   2.46,   3.01
196009,  -5.42,  -5.07,  -7.51,  -8.71,  -5.77
196010,   0.29,   0.01,  -1.77,  -3.49,  -0.85
196011,   4.73,   4.25,   5.76,   4.04,   6.74
196012,   2.24,   4.81,   7.19,   6.22,   4.17
196101,   5.86,   7.03,   5.19,   6.05,   7.82
196102,   5.44,   3.64,   1.78,   5.19,   5.66
196103,   4.76,   1.59,   4.96,   3.80,   3.45
196104,  -0.76,   0.87,   0.63,  -0.30,   0.51
196105,   3.08,   2.98,   1.00,   2.28,   4.21
196106,  -1.07,  -2.98,  -3.65,  -3.38,  -3.87
196107,   4.14,   2.51,   3.96,   3.45,   1.25
196108,   3.58,   2.19,   2.47,   3.84,   5.30
196109,   2.00,  -3.63,  -1.18,  -1.31,  -1.82
196110,   3.72,   2.66,   1.91,   3.52,   2.28
196111,   6.88,   3.70,   5.44,   3.27,   3.93
196112,  -0.58,   0.01,   1.17,  -2.02,  -1.84
196201,  -4.94,  -2.40,  -5.49,  -4.62,  -1.40
196202,  -0.07,   2.71,   1.91,   3.76,   1.70
196203,  -0.61,  -0.22,  -1.30,   0.54,  -1.85
196204,  -5.27,  -5.60,  -8.06, -11.01,  -7.12
196205,  -8.41,  -7.89,  -9.19, -10.90,  -7.92
196206,  -8.32,  -7.21, -10.05, -12.59,  -9.18
196207,   6.32,   5.74,   9.21,   7.78,   5.72
196208,   2.88,   2.44,   2.47,  -7.92,   3.84
196209,  -4.78,  -3.92,  -7.46,  -4.05,  -5.74
196210,  -0.53,   0.37,   1.34,   2.47,   0.65
196211,   9.82,  11.09,  10.74,  17.59,  14.88
196212,   1.68,   1.67,   0.45,   0.89,   1.35
196301,   5.66,   4.74,   4.88,   5.65,   5.24
196302,  -2.45,  -1.94,  -3.08,  -2.58,  -0.37
196303,   4.41,   3.77,   2.33,   1.18,   2.87
196304,   4.50,   4.53,   5.05,   7.62,   5.85
196305,   4.60,   1.18,   1.78,  -0.25,   3.63
196306,  -1.99,  -1.12,  -3.47,  -1.09,  -1.30
196307,  -0.48,   0.23,  -0.41,   0.56,  -1.61
196308,   6.03,   5.04,   4.62,   9.56,   5.49
196309,  -0.41,  -2.05,   1.48,  -4.06,  -3.16
196310,   5.66,   0.96,   5.29,   3.38,   1.38
196311,  -3.05,  -0.43,   2.39,  -1.65,   0.23
196312,   1.02,   2.84,   1.10,   1.54,   2.80
196401,   1.35,   3.06,   3.18,   3.68,   1.24
196402,   1.95,   1.82,   0.60,   1.66,   5.45
196403,   1.88,   2.04,   0.79,  -1.94,   2.18
196404,   1.42,   0.61,  -1.02,  -1.42,   0.26
196405,   1.85,   1.70,   0.86,   0.53,   2.42
196406,   1.64,   1.10,   3.03,   0.59,   1.36
196407,   3.33,   2.71,  -1.91,   4.76,   1.34
196408,   0.65,  -1.18,  -2.02,  -4.22,  -3.13
196409,   3.74,   3.62,  -0.15,   2.73,   4.05
196410,   0.59,   1.30,  -0.93,   2.88,   1.84
196411,   0.25,   0.85,  -1.42,   2.17,  -1.80
